MemberNo,Transaction Date,Comments,Amount
1723508,05/02/2026,"School T- Shirt, Tunic & Skirt )",950
1723508,05/02/2026,School Fees ( Form 3 ),750
178475,05/02/2026,Groceries,500
178475,05/02/2026,Rent,700
178474,05/02/2026,Groceries,500
63,05/02/2026,Toiletries ( 3 Months),300
63,05/02/2026,Uniforms,1200
1723519,05/02/2026,Uniforms,610
1723517,05/02/2026,School Trouser,150
1723517,05/02/2026,Building Fund,500
1723517,05/02/2026,School Fees ( Form 5 ),2270
1723524,05/02/2026,Toiletries,200
1723524,05/02/2026,"School Fees Balance F ,2025",330
63,05/02/2026,Educational Trip,1600
1723488,05/02/2026,Rent ( UNESWA ),648
1723486,05/02/2026,Driving Lessons ( Heavy Duty ),3500
1723486,05/02/2026,Tuition Fee (BSA),7900
572,05/02/2026,School Fees ( Form 6 ),17462
178506,05/02/2026,Lunchbox ( 2 Months ),1000
178506,05/02/2026,Transport ( 2 Months ),1600
1793,06/02/2026,Transport,1000
1792,06/02/2026,Transport,1000
178387,09/02/2026,Stationery,440
178387,09/02/2026,Wifi,250
178388,09/02/2026,Stationery,230
178398,09/02/2026,Rent (February),5400
178398,09/02/2026,Sustenance Top Up,1300
178398,09/02/2026,Fuel & Toll Gates (Eswatini to JHB),1500
178398,09/02/2026,Car Rental (2 Days),1500
178398,09/02/2026,Bedding,1899.89
1149,09/02/2026,Transport ,920
377,09/02/2026,Stationery,190
377,09/02/2026,School Bag,400
1723420,09/02/2026,Transport ,350
178390,09/02/2026,"School Fees, Balance  (Form 5)",1081
1723436,09/02/2026,Uniforms,1070
1723474,09/02/2026,Uniforms,1520
1723396,09/02/2026,Stationery,350
1723396,09/02/2026,Belt,160
1723474,10/02/2026,Uniforms,1870
1678,10/02/2026,Ingredients for Practical's,640
1793,10/02/2026,Judo Classes (Term 1),1100
1792,10/02/2026,Judo Classes (Term 1),1100
178464,11/02/2026,Refund (Consultation Fee),300
178464,11/02/2026,Eye Glasses,3745
178508,11/02/2026,Exam Fee ( Form 3 ),2103
178533,11/02/2026,Forex Charges,95.37
178534,11/02/2026,Forex Charges,95.37
63,11/02/2026,Forex Charges,23.4
1723430,12/02/2026,Stationery,720
1723524,12/02/2026,Uniforms,2609.4
1723515,12/02/2026,Pocket Money,200
1723515,12/02/2026,Stationery,270
1723515,12/02/2026,Raining Boots & Shirts,260
1278,12/02/2026,Toiletries,150
1278,12/02/2026,T- Shirt & Sneakers,630
1278,12/02/2026,Stationery,180
1723430,12/02/2026,Hostel Essentials,3430
178396,12/02/2026,Transport ,800
1723524,12/02/2026,"School Fees ( Form 4,Restart )",10910
178398,12/02/2026,Tuition Fee ( EMERIS),60240
178553,13/02/2026,School Fees ,7900
1723493,13/02/2026,School T- Shirt & Jersey,480
178456,13/02/2026,Sustenance Top Up,200
1644,13/02/2026,Water Bill,189.79
178553,13/02/2026,Tracksuit,650
178364,13/02/2026,School Fees ( Form 2 ),6660
1789,13/02/2026,School Fees ( Form 4 ),3330
1723524,16/02/2026,Transport ,400
178400,16/02/2026,Uniforms,2090
1723495,16/02/2026,School Fees ( Form 4 ),4524
1723424,16/02/2026,Cellphone Purchase,2250
178360,16/02/2026,Clothes,1000
377,18/02/2026,School Sneakers,280
178474,18/02/2026,Driving Lessons ( Light Duty ),3500
178381,18/02/2026,Tunic,450
178544,18/02/2026,School Fees ( Grade 11 ),17650
178466,18/02/2026,Math Bootcamp,6600
1680,18/02/2026,Stationery,468.8
1723524,18/02/2026,Uniforms,1590
1723488,19/02/2026,Laptop Purchase,6300
1626,19/02/2026,Transport ( Feb & March ),1015
1626,19/02/2026,Educational Trip,900
1723482,19/02/2026,Transport ,1000
1723481,19/02/2026,Transport ,1000
1723480,19/02/2026,Transport ,1000
1678,19/02/2026,Balloons for Décor,190
63,19/02/2026,Mathematics Workshop,200
